time,source_user,destination_user,source_computer,destination_computer,authentication_type,logon_type,authentication_orientation,success_failure,is_attack,is_failed_login,logins_per_hour,unique_destination_computers,destination_fanin,is_privileged_target,source_user_encoded,destination_computer_encoded,logon_type_encoded,authentication_type_encoded,authentication_orientation_encoded,siem_flagged_final,if_score,if_prediction,shap_value,technique_id,technique_name,tactic,confidence,action
1059081,C10$@DOM1,C10$@DOM1,C3374,C3374,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,Network,LogOn,Fail,0,1,1,7,1,0,86,2204,4,5,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1062322,C10$@DOM1,C10$@DOM1,C15018,C15018,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,Network,LogOn,Fail,0,1,2,7,1,0,86,836,4,5,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1063861,C10$@DOM1,C10$@DOM1,C13966,C13966,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,Network,LogOn,Fail,0,1,2,7,2,0,86,684,4,5,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1065936,C10$@DOM1,C10$@DOM1,C11798,C11798,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,Network,LogOn,Fail,0,1,2,7,1,0,86,347,4,5,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1067014,C10$@DOM1,C10$@DOM1,C10,C231,Kerberos,Network,LogOn,Success,0,0,3,7,580,0,86,1881,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1067195,C10$@DOM1,C10$@DOM1,C231,C231,?,Network,LogOff,Success,0,0,4,7,580,0,86,1881,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1067253,C10$@DOM1,C10$@DOM1,C706,C706,?,Network,LogOff,Success,0,0,5,7,570,0,86,2920,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1067736,C10$@DOM1,C10$@DOM1,C10,C7850,?,?,TGS,Success,0,0,5,7,1,0,86,3074,0,0,5,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1042879,C1015$@DOM1,C1015$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,1,7,2338,0,162,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1043993,C1015$@DOM1,C1015$@DOM1,C1015,C1015,?,?,TGS,Success,0,0,2,7,119,0,162,23,0,0,5,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
