source_user,day,total_logons,failed_logons,successful_logons,failure_rate,success_rate,unique_destinations,unique_source_computers,unique_logon_types,batch_or_rdp_logons,network_logons,unique_auth_types,kerberos_logons,ntlm_logons,active_hours,is_attack,siem_flagged,rule1_flagged,rule2_flagged,rule3_flagged,rule4_flagged
ANONYMOUS LOGON@C10561,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C1065,12,44,0,44,0.0,1.0,1,18,1,0,44,2,0,19,8.376388888888888,0,0,0,0,0,0
ANONYMOUS LOGON@C1208,12,3,0,3,0.0,1.0,1,1,1,0,3,1,0,0,5.999722222222222,0,0,0,0,0,0
ANONYMOUS LOGON@C12166,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C12214,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C12349,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C12393,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C13578,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C13623,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C14278,12,4,0,4,0.0,1.0,1,1,1,0,4,1,0,0,2.1838888888888888,0,0,0,0,0,0
ANONYMOUS LOGON@C14455,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C14542,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C14551,12,2,0,2,0.0,1.0,1,2,1,0,2,2,0,1,0.0297222222222222,0,0,0,0,0,0
ANONYMOUS LOGON@C14599,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C14665,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C14868,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C15143,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C1529,12,2,0,2,0.0,1.0,1,1,1,0,2,1,0,0,6.6275,0,0,0,0,0,0
ANONYMOUS LOGON@C154,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C1549,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C15538,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C16397,12,3,0,3,0.0,1.0,1,2,1,0,3,2,0,1,0.0311111111111111,0,0,0,0,0,0
ANONYMOUS LOGON@C1672,12,3,0,3,0.0,1.0,1,1,1,0,3,1,0,0,1.199722222222222,0,0,0,0,0,0
ANONYMOUS LOGON@C16926,12,3,0,3,0.0,1.0,1,1,1,0,3,1,0,0,4.498333333333333,0,0,0,0,0,0
ANONYMOUS LOGON@C1697,12,4,0,4,0.0,1.0,1,1,1,0,4,1,0,0,4.186111111111111,0,0,0,0,0,0
ANONYMOUS LOGON@C1700,12,2,0,2,0.0,1.0,1,1,1,0,2,1,0,0,3.4833333333333334,0,0,0,0,0,0
ANONYMOUS LOGON@C17410,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C1767,12,2,0,2,0.0,1.0,1,1,1,0,2,1,0,0,3.4002777777777777,0,0,0,0,0,0
ANONYMOUS LOGON@C17957,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C18448,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C18931,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C1909,12,27,0,27,0.0,1.0,1,1,1,0,27,1,0,0,8.110555555555555,0,0,0,0,0,0
ANONYMOUS LOGON@C19149,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C19414,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0,0,0,0,0
ANONYMOUS LOGON@C1971,12,3,0,3,0.0,1.0,1,1,1,0,3,1,0,0,5.270555555555555,0,0,0,0,0,0
