source_user,day,total_logons,failed_logons,successful_logons,failure_rate,success_rate,unique_destinations,unique_source_computers,unique_logon_types,batch_or_rdp_logons,network_logons,unique_auth_types,kerberos_logons,ntlm_logons,active_hours,is_attack,if_score,if_prediction
ANONYMOUS LOGON@C10561,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0.24626535764714663,1
ANONYMOUS LOGON@C1065,12,44,0,44,0.0,1.0,1,18,1,0,44,2,0,19,8.376388888888888,0,0.009435924843799626,1
ANONYMOUS LOGON@C1208,12,3,0,3,0.0,1.0,1,1,1,0,3,1,0,0,5.999722222222222,0,0.29257823857433185,1
ANONYMOUS LOGON@C12166,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0.36501505021801656,1
ANONYMOUS LOGON@C12214,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0.24626535764714663,1
ANONYMOUS LOGON@C12349,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0.24626535764714663,1
ANONYMOUS LOGON@C12393,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0.36501505021801656,1
ANONYMOUS LOGON@C13578,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0.36501505021801656,1
ANONYMOUS LOGON@C13623,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0.36501505021801656,1
ANONYMOUS LOGON@C14278,12,4,0,4,0.0,1.0,1,1,1,0,4,1,0,0,2.1838888888888888,0,0.2832530747085177,1
ANONYMOUS LOGON@C14455,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0.36501505021801656,1
ANONYMOUS LOGON@C14542,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,0,0.0,0,0.36501505021801656,1
ANONYMOUS LOGON@C14551,12,2,0,2,0.0,1.0,1,2,1,0,2,2,0,1,0.0297222222222222,0,0.2440157252600858,1
ANONYMOUS LOGON@C14599,12,1,0,1,0.0,1.0,1,1,1,0,1,1,0,1,0.0,0,0.24626535764714663,1
