total_logons,failed_logons,failure_rate,unique_destinations,unique_source_computers,unique_logon_types,batch_or_rdp_logons,network_logons,unique_auth_types,kerberos_logons,ntlm_logons,active_hours
1,0,0.0,1,1,1,0,1,1,0,1,0.0
44,0,0.0,1,18,1,0,44,2,0,19,8.376388888888888
3,0,0.0,1,1,1,0,3,1,0,0,5.999722222222222
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
4,0,0.0,1,1,1,0,4,1,0,0,2.1838888888888888
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
2,0,0.0,1,2,1,0,2,2,0,1,0.029722222222222223
1,0,0.0,1,1,1,0,1,1,0,1,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
2,0,0.0,1,1,1,0,2,1,0,0,6.6275
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
3,0,0.0,1,2,1,0,3,2,0,1,0.03111111111111111
3,0,0.0,1,1,1,0,3,1,0,0,1.1997222222222221
3,0,0.0,1,1,1,0,3,1,0,0,4.498333333333333
4,0,0.0,1,1,1,0,4,1,0,0,4.186111111111111
2,0,0.0,1,1,1,0,2,1,0,0,3.4833333333333334
1,0,0.0,1,1,1,0,1,1,0,0,0.0
2,0,0.0,1,1,1,0,2,1,0,0,3.4002777777777777
1,0,0.0,1,1,1,0,1,1,0,1,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
27,0,0.0,1,1,1,0,27,1,0,0,8.110555555555555
1,0,0.0,1,1,1,0,1,1,0,1,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
3,0,0.0,1,1,1,0,3,1,0,0,5.270555555555555
2,0,0.0,1,1,1,0,2,1,0,0,0.6572222222222223
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
51,0,0.0,1,29,1,0,51,2,0,29,8.391666666666667
2,0,0.0,1,1,1,0,2,1,0,0,7.799722222222222
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
