source_user,day,total_logons,failed_logons,successful_logons,failure_rate,success_rate,unique_destinations,unique_source_computers,unique_logon_types,batch_or_rdp_logons,network_logons,unique_auth_types,kerberos_logons,ntlm_logons,active_hours,is_attack,if_score,if_prediction
ANONYMOUS LOGON@C2106,12,51,0,51,0.0,1.0,1,29,1,0,51,2,0,29,8.391666666666667,0,-0.0023606207395099332,-1
ANONYMOUS LOGON@C457,12,81,0,81,0.0,1.0,1,45,1,0,81,2,0,47,8.392777777777777,0,-0.03053427910195594,-1
ANONYMOUS LOGON@C467,12,143,0,143,0.0,1.0,1,68,1,0,143,2,0,77,8.603333333333333,0,-0.049394669322094464,-1
ANONYMOUS LOGON@C528,12,93,0,93,0.0,1.0,1,46,1,0,93,2,0,49,8.525555555555556,0,-0.037578031429304715,-1
ANONYMOUS LOGON@C529,12,117,0,117,0.0,1.0,1,61,1,0,117,2,0,66,8.635277777777778,0,-0.0488797872974841,-1
ANONYMOUS LOGON@C586,12,1140,0,1140,0.0,1.0,1,651,1,0,1140,2,0,870,8.656944444444445,0,-0.06196550144161628,-1
ANONYMOUS LOGON@C612,12,143,0,143,0.0,1.0,1,63,1,0,143,2,0,85,8.565,0,-0.049394669322094464,-1
ANONYMOUS LOGON@C625,12,99,0,99,0.0,1.0,1,47,1,0,99,2,0,55,8.563333333333333,0,-0.040816178328210606,-1
C101$@DOM1,12,137,0,137,0.0,1.0,15,11,2,0,132,3,60,3,8.537777777777778,0,-0.08094930577756698,-1
C104$@DOM1,12,393,3,390,0.0076335877862595,0.9923664122137404,15,15,2,0,318,2,159,0,8.655277777777778,0,-0.10140337275521383,-1
C1065$@DOM1,12,200,1,199,0.005,0.995,7,9,2,0,199,3,102,0,8.580833333333333,0,-0.07794281955012416,-1
C1085$@DOM1,12,137,0,137,0.0,1.0,21,15,3,0,118,3,62,0,8.588888888888889,0,-0.08392895448012061,-1
C1114$@DOM1,12,669,1,668,0.0014947683109118,0.9985052316890882,18,16,2,0,552,2,271,0,8.638333333333334,0,-0.09783463590710184,-1
C123$@DOM1,12,202,0,202,0.0,1.0,17,17,2,0,196,2,96,0,8.642777777777777,0,-0.08102876528428804,-1
C1617$@DOM1,12,300,0,300,0.0,1.0,15,16,2,0,297,2,149,0,8.654166666666667,0,-0.08263977798010569,-1
C1708$@DOM1,12,130,0,130,0.0,1.0,12,11,2,0,124,3,53,4,8.627777777777778,0,-0.07934172085287272,-1
