source_user,day,total_logons,failed_logons,successful_logons,failure_rate,success_rate,unique_destinations,unique_source_computers,unique_logon_types,batch_or_rdp_logons,network_logons,unique_auth_types,kerberos_logons,ntlm_logons,active_hours,is_attack,if_score,if_prediction,shap_total_logons,shap_failed_logons,shap_failure_rate,shap_unique_destinations,shap_unique_source_computers,shap_unique_logon_types,shap_batch_or_rdp_logons,shap_network_logons,shap_unique_auth_types,shap_kerberos_logons,shap_ntlm_logons,shap_active_hours,shap_top_feature
ANONYMOUS LOGON@C2106,12,51,0,51,0.0,1.0,1,29,1,0,51,2,0,29,8.391666666666667,0,-0.0023606207395099,-1,-1.7671547606244726,0.01562706846417411,0.015120712768056823,-0.03789103492692142,-2.0346169116942625,0.10737821082473911,0.009036289615480177,-1.816555282726198,0.041693508444993956,-0.02742330804761768,-2.627910609054311,-0.5203614511668406,ntlm_logons
ANONYMOUS LOGON@C457,12,81,0,81,0.0,1.0,1,45,1,0,81,2,0,47,8.392777777777777,0,-0.0305342791019559,-1,-2.018577387099402,0.015022784793363261,0.014602639960499866,-0.03224169937808669,-1.9608985269090173,0.10391906871192882,0.008151243453129167,-2.0772551780121202,0.012312814315141812,-0.03163234080174026,-2.707060430474245,-0.5412186858398518,ntlm_logons
ANONYMOUS LOGON@C467,12,143,0,143,0.0,1.0,1,68,1,0,143,2,0,77,8.603333333333333,0,-0.0493946693220944,-1,-2.2755004173463775,0.01416715460975649,0.01419511963546404,-0.02724790600631117,-1.8966018934054218,0.10738981934996601,0.007537185587585185,-2.2530170932282467,-0.02908185332821414,-0.033327911450160355,-2.6309384763481805,-0.5832430875118944,ntlm_logons
ANONYMOUS LOGON@C528,12,93,0,93,0.0,1.0,1,46,1,0,93,2,0,49,8.525555555555556,0,-0.0375780314293047,-1,-2.1073748605505,0.01492651233536255,0.014430947538126999,-0.03258045822595068,-1.9438692739238332,0.10597047259060274,0.00807693335855453,-2.1439411336669294,0.0075642879113928365,-0.03209935724856108,-2.6686419982189786,-0.576907933407659,ntlm_logons
ANONYMOUS LOGON@C529,12,117,0,117,0.0,1.0,1,61,1,0,117,2,0,66,8.635277777777778,0,-0.0488797872974841,-1,-2.252158262308217,0.014201653785846806,0.014223312810136045,-0.03412923605132525,-1.9106080331862725,0.10741438964198192,0.007537185587585185,-2.240568753271101,-0.023184492159105664,-0.03328431017412546,-2.6418697266055435,-0.5832430875118944,ntlm_logons
ANONYMOUS LOGON@C586,12,1140,0,1140,0.0,1.0,1,651,1,0,1140,2,0,870,8.656944444444445,0,-0.0619655014416162,-1,-2.446208422189123,0.013916764235109649,0.014023552180407984,-0.032039189831335864,-1.8993950988275274,0.11265914775044382,0.007304085583144589,-2.3044931827121737,-0.05627683147058772,-0.032681051590057554,-2.6124543658688695,-0.592098690277369,ntlm_logons
ANONYMOUS LOGON@C612,12,143,0,143,0.0,1.0,1,63,1,0,143,2,0,85,8.565,0,-0.0493946693220944,-1,-2.2943083541222817,0.014218504063688651,0.01419511963546404,-0.028081005608862057,-1.8966018934054218,0.10739541339477733,0.007537185587585185,-2.253009945282099,-0.02908185332821414,-0.03322802063517781,-2.6309384763481805,-0.5637660333933123,ntlm_logons
ANONYMOUS LOGON@C625,12,99,0,99,0.0,1.0,1,47,1,0,99,2,0,55,8.563333333333333,0,-0.0408161783282106,-1,-2.1241401057493854,0.014870429670524448,0.014246963482225112,-0.033001070910304846,-1.929654433423263,0.10752433783368885,0.008060844284068067,-2.2005532981889058,-0.0005552622603282014,-0.032218316939548575,-2.665706945031541,-0.5770424966752019,ntlm_logons
C101$@DOM1,12,137,0,137,0.0,1.0,15,11,2,0,132,3,60,3,8.537777777777778,0,-0.0809493057775669,-1,-1.779900539277377,0.011268865536911941,0.011404751406309085,-1.2569338990247199,-1.237510245153794,-0.21592139071744304,0.007415134205517494,-1.7911454033739225,-0.5729565259621273,-1.713766502418105,-1.2989389661849289,-0.34897218739574515,network_logons
C104$@DOM1,12,393,3,390,0.0076335877862595,0.9923664122137404,15,15,2,0,318,2,159,0,8.655277777777778,0,-0.1014033727552138,-1,-1.9958874536857367,-1.2537337024231623,-0.09122841377570899,-1.3503232952057973,-1.43044909513277,-0.22465061864184943,0.006380637744146544,-1.8933735347485872,0.008973615188541024,-2.0328484471736052,0.06278340015477724,-0.3680812587992556,kerberos_logons
