time,rule,severity,user,computer,detail
1036889,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1708,Distinct destinations: 21
1036931,Excessive Lateral Movement,HIGH,C1085$@DOM1,C528,Distinct destinations: 21
1037177,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1085,Distinct destinations: 21
1037216,Excessive Lateral Movement,HIGH,C1085$@DOM1,C612,Distinct destinations: 21
1037250,Excessive Lateral Movement,HIGH,C1085$@DOM1,C612,Distinct destinations: 21
1037346,Excessive Lateral Movement,HIGH,C1085$@DOM1,C528,Distinct destinations: 21
1037531,Excessive Lateral Movement,HIGH,C1085$@DOM1,C528,Distinct destinations: 21
1037708,Excessive Lateral Movement,HIGH,C1085$@DOM1,C529,Distinct destinations: 21
1037848,Excessive Lateral Movement,HIGH,C1085$@DOM1,C612,Distinct destinations: 21
1037907,Excessive Lateral Movement,HIGH,C1085$@DOM1,C988,Distinct destinations: 21
1038633,Excessive Lateral Movement,HIGH,C1085$@DOM1,C988,Distinct destinations: 21
1039508,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1039565,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1040410,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1065,Distinct destinations: 21
1040689,Excessive Lateral Movement,HIGH,C1085$@DOM1,C988,Distinct destinations: 21
1040906,Excessive Lateral Movement,HIGH,C1085$@DOM1,C612,Distinct destinations: 21
1040906,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1737,Distinct destinations: 21
1041115,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1085,Distinct destinations: 21
1041345,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1042018,Excessive Lateral Movement,HIGH,C1085$@DOM1,C528,Distinct destinations: 21
1042053,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1042260,Excessive Lateral Movement,HIGH,C1085$@DOM1,C553,Distinct destinations: 21
1042286,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1042501,Excessive Lateral Movement,HIGH,C1085$@DOM1,C523,Distinct destinations: 21
1042569,Excessive Lateral Movement,HIGH,C1085$@DOM1,C467,Distinct destinations: 21
1042883,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1043313,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1043810,Excessive Lateral Movement,HIGH,C1085$@DOM1,C467,Distinct destinations: 21
1043941,Excessive Lateral Movement,HIGH,C1085$@DOM1,C467,Distinct destinations: 21
1044046,Excessive Lateral Movement,HIGH,C1085$@DOM1,C467,Distinct destinations: 21
1044080,Excessive Lateral Movement,HIGH,C1085$@DOM1,C467,Distinct destinations: 21
1044149,Excessive Lateral Movement,HIGH,C1085$@DOM1,C612,Distinct destinations: 21
1044194,Excessive Lateral Movement,HIGH,C1085$@DOM1,C553,Distinct destinations: 21
1044364,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1044412,Excessive Lateral Movement,HIGH,C1085$@DOM1,C529,Distinct destinations: 21
1044429,Excessive Lateral Movement,HIGH,C1085$@DOM1,C467,Distinct destinations: 21
1045282,Excessive Lateral Movement,HIGH,C1085$@DOM1,C553,Distinct destinations: 21
1045283,Excessive Lateral Movement,HIGH,C1085$@DOM1,C523,Distinct destinations: 21
1045496,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1737,Distinct destinations: 21
1045862,Excessive Lateral Movement,HIGH,C1085$@DOM1,C612,Distinct destinations: 21
1046547,Excessive Lateral Movement,HIGH,C1085$@DOM1,C523,Distinct destinations: 21
1046723,Excessive Lateral Movement,HIGH,C1085$@DOM1,C612,Distinct destinations: 21
1046759,Excessive Lateral Movement,HIGH,C1085$@DOM1,C2106,Distinct destinations: 21
1046852,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1065,Distinct destinations: 21
1046974,Excessive Lateral Movement,HIGH,C1085$@DOM1,C101,Distinct destinations: 21
1047437,Excessive Lateral Movement,HIGH,C1085$@DOM1,C2106,Distinct destinations: 21
1047618,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1065,Distinct destinations: 21
1047661,Excessive Lateral Movement,HIGH,C1085$@DOM1,C2106,Distinct destinations: 21
1047743,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1048077,Excessive Lateral Movement,HIGH,C1085$@DOM1,C528,Distinct destinations: 21
1048789,Excessive Lateral Movement,HIGH,C1085$@DOM1,C988,Distinct destinations: 21
1050041,Excessive Lateral Movement,HIGH,C1085$@DOM1,C612,Distinct destinations: 21
1050096,Excessive Lateral Movement,HIGH,C1085$@DOM1,C104,Distinct destinations: 21
1051615,Excessive Lateral Movement,HIGH,C1085$@DOM1,C612,Distinct destinations: 21
1052176,Excessive Lateral Movement,HIGH,C1085$@DOM1,C101,Distinct destinations: 21
1052326,Excessive Lateral Movement,HIGH,C1085$@DOM1,C528,Distinct destinations: 21
1052833,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1065,Distinct destinations: 21
1053023,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1065,Distinct destinations: 21
1053025,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1053445,Excessive Lateral Movement,HIGH,C1085$@DOM1,C528,Distinct destinations: 21
1053469,Excessive Lateral Movement,HIGH,C1085$@DOM1,C625,Distinct destinations: 21
1053504,Excessive Lateral Movement,HIGH,C1085$@DOM1,C523,Distinct destinations: 21
1053994,Excessive Lateral Movement,HIGH,C1085$@DOM1,C467,Distinct destinations: 21
1054013,Excessive Lateral Movement,HIGH,C1085$@DOM1,C529,Distinct destinations: 21
1054041,Excessive Lateral Movement,HIGH,C1085$@DOM1,C2106,Distinct destinations: 21
1054045,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1054071,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1054298,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1054668,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1054836,Excessive Lateral Movement,HIGH,C1085$@DOM1,C625,Distinct destinations: 21
1055219,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1055269,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1085,Distinct destinations: 21
1055877,Excessive Lateral Movement,HIGH,C1085$@DOM1,C599,Distinct destinations: 21
1056168,Excessive Lateral Movement,HIGH,C1085$@DOM1,C523,Distinct destinations: 21
1056261,Excessive Lateral Movement,HIGH,C1085$@DOM1,C2106,Distinct destinations: 21
1056386,Excessive Lateral Movement,HIGH,C1085$@DOM1,C467,Distinct destinations: 21
1057499,Excessive Lateral Movement,HIGH,C1085$@DOM1,C528,Distinct destinations: 21
1057585,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1058197,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1058484,Excessive Lateral Movement,HIGH,C1085$@DOM1,C2106,Distinct destinations: 21
1058752,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1059183,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1059184,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1059304,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1085,Distinct destinations: 21
1059675,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1065,Distinct destinations: 21
1059771,Excessive Lateral Movement,HIGH,C1085$@DOM1,C467,Distinct destinations: 21
1059810,Excessive Lateral Movement,HIGH,C1085$@DOM1,C529,Distinct destinations: 21
1060258,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1060355,Excessive Lateral Movement,HIGH,C1085$@DOM1,C625,Distinct destinations: 21
1060386,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1060541,Excessive Lateral Movement,HIGH,C1085$@DOM1,C612,Distinct destinations: 21
1060664,Excessive Lateral Movement,HIGH,C1085$@DOM1,C528,Distinct destinations: 21
1060757,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1060788,Excessive Lateral Movement,HIGH,C1085$@DOM1,C529,Distinct destinations: 21
1060819,Excessive Lateral Movement,HIGH,C1085$@DOM1,C625,Distinct destinations: 21
1060970,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1061192,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1061372,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1061408,Excessive Lateral Movement,HIGH,C1085$@DOM1,C467,Distinct destinations: 21
1061496,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1061528,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1061571,Excessive Lateral Movement,HIGH,C1085$@DOM1,C528,Distinct destinations: 21
1061701,Excessive Lateral Movement,HIGH,C1085$@DOM1,C599,Distinct destinations: 21
1061731,Excessive Lateral Movement,HIGH,C1085$@DOM1,C523,Distinct destinations: 21
1061973,Excessive Lateral Movement,HIGH,C1085$@DOM1,C523,Distinct destinations: 21
1061989,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1062089,Excessive Lateral Movement,HIGH,C1085$@DOM1,C625,Distinct destinations: 21
1062426,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1062476,Excessive Lateral Movement,HIGH,C1085$@DOM1,C586,Distinct destinations: 21
1062540,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1114,Distinct destinations: 21
1062669,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1062682,Excessive Lateral Movement,HIGH,C1085$@DOM1,C612,Distinct destinations: 21
1062704,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1063138,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1114,Distinct destinations: 21
1063212,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1063580,Excessive Lateral Movement,HIGH,C1085$@DOM1,C599,Distinct destinations: 21
1063868,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1065,Distinct destinations: 21
1064068,Excessive Lateral Movement,HIGH,C1085$@DOM1,C599,Distinct destinations: 21
1064117,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1085,Distinct destinations: 21
1064208,Excessive Lateral Movement,HIGH,C1085$@DOM1,C467,Distinct destinations: 21
1064227,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1114,Distinct destinations: 21
1064274,Excessive Lateral Movement,HIGH,C1085$@DOM1,C101,Distinct destinations: 21
1064367,Excessive Lateral Movement,HIGH,C1085$@DOM1,C599,Distinct destinations: 21
1064784,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1114,Distinct destinations: 21
1065096,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1766,Distinct destinations: 21
1065242,Excessive Lateral Movement,HIGH,C1085$@DOM1,C553,Distinct destinations: 21
1065963,Excessive Lateral Movement,HIGH,C1085$@DOM1,C1114,Distinct destinations: 21
1066162,Excessive Lateral Movement,HIGH,C1085$@DOM1,C528,Distinct destinations: 21
1066228,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1066329,Excessive Lateral Movement,HIGH,C1085$@DOM1,C706,Distinct destinations: 21
1066477,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1066574,Excessive Lateral Movement,HIGH,C1085$@DOM1,C101,Distinct destinations: 21
1066575,Excessive Lateral Movement,HIGH,C1085$@DOM1,C523,Distinct destinations: 21
1067489,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1067555,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1067745,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1067809,Excessive Lateral Movement,HIGH,C1085$@DOM1,C457,Distinct destinations: 21
1038173,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1038738,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1042753,Excessive Lateral Movement,HIGH,U1025@DOM1,C2451,Distinct destinations: 22
1044538,Excessive Lateral Movement,HIGH,U1025@DOM1,C2327,Distinct destinations: 22
